sku,contributor_id,contributor_name,matched_asin#1.value,marketplace_id,brand.value,brand.value_id,browse_node_id.value,browse_nodes#1.value,browse_nodes#1.value_id,bullet_point#1.value,bullet_point#1.value_id,bullet_point#2.value,bullet_point#3.value,bullet_point#4.value,bullet_point#5.value,bullet_point#6.value,bullet_point#7.value,bullet_point#8.value,ean#1.value,expiration_date_type.value,expiration_interval.unit,expiration_interval.value,fc_shelf_life.unit,fc_shelf_life.value,fc_shelf_life_pad_time#1.unit,fc_shelf_life_pad_time#1.value,fulfillment_center_barcode_id#1.value,gl_product_group_type.value,inner_pack_product_identification.type,inner_pack_product_identification.value,is_expiration_dated_product.value,item_dimensions.height.normalized_value.unit,item_dimensions.height.normalized_value.value,item_dimensions.height.unit,item_dimensions.height.value,item_dimensions.length.normalized_value.unit,item_dimensions.length.normalized_value.value,item_dimensions.length.unit,item_dimensions.length.value,item_dimensions.width.normalized_value.unit,item_dimensions.width.normalized_value.value,item_dimensions.width.unit,item_dimensions.width.value,item_form#1.value,item_form#1.value_id,item_name.alternate_representations#1.type,item_name.alternate_representations#1.value,item_name.value,item_name.value_id,item_volume.unit,item_volume.value,item_weight.normalized_value.unit,item_weight.normalized_value.value,item_weight.unit,item_weight.value,list_price.currency,list_price.is_originating_currency,list_price.value,list_price.value_with_tax,manufacturer.value,manufacturer.value_id,minimum_order_quantity.increment#1.value,minimum_order_quantity.minimum#1.value,product_category.value,product_classes.value#1,product_expiration_type.value,product_expiration_type.value_id,product_shelf_life#1.unit,product_shelf_life#1.value,product_type_category.value,product_type_embedding.model.metadata.model_id,product_type_embedding.model.metadata.norm_function,product_type_embedding.model.vector#1.score,product_type_embedding.model.vector#1.value,product_type_embedding.override#1.source,product_type_embedding.override#1.type,product_type_embedding.override#1.value,product_type_subcategory.value,rtip_barcode.value,rtip_inner_packs_per_master_pack.value,rtip_items_per_inner_pack.value,rtip_items_per_master_pack.value,rtip_units_per_inner_pack#1.value,unit_count.type.value,unit_count.type.value_id,unit_count.value,upc#1.value,vendor_barcode#1.value
B0FX4GHD7W,5.04638E+11,AmazonAe/T072Y,B0FX4GHD7W,global,Vitamin Well,,,,,Contributes to the reduction of tiredness and fatigue,,Contains biotin and zinc for normal hair and normal skin,,,,,,,7.35004E+12,,,,,,,,,gl_grocery,,,,,,,,,,,,,,,,,,,,Vitamin Well Care Red Grapefruit Vitamin B12 + Zinc + Biotin + Folic Acid (VW CARE 500ML),,,,,,grams,500,AED,,7.83,9,Vitamin Well,,,,32505500,,,,,,,,,,,,,,,,,,,,millilitre,,500,,
7.34E+12,5.04638E+11,AmazonAe/T072Y,B0G6L691VY,global,Barebells,,,,,16 g protein per bar,,No added sugar,Soft texture with caramel and chocolate flavor,Convenient 55 g bar size,Pack of 4 protein bars,,,,7.34E+12,,,,days,365,,,,gl_grocery,,,TRUE,,,,,,,,,,,,,,,,,Barebells Soft Protein Bar Caramel Choco 55 g Pack of 4,,,,,,,,AED,,,60,Barebells,,,,32509400,,Expiration On Package,,,,,,,,,,,,,,1,1,,,count,,1,,
B0DN9HZPYH,5.04638E+11,AmazonAe/T072Y,B0DN9HZPYH,global,Barebells,,,,,"BAREBELLS PROTEIN MILKSHAKES are low calorie shakes with less than 200 calories per serving. With 24 grams of whey protein per serving, they make up the perfect high protein snacks on the go.",,FOR AN ACTIVE LIFESTYLE - Protein drinks for a pre workout meal or as an alternative to post workout protein powder. There are many best ways to enjoy a Barebells protein milkshake.,"DESIGNED TO SPOIL OUR INNER CHILD - The fact that this chocolate milkshake contains 24g of protein, has no added sugar, is lactose free is just a grown-up bonus!",,,,,,7.34E+12,,,,,,,,,gl_drugstore,,,,,,,,,,,,,,,,,,,,"Barebells Chocolate Protein Milkshake, 330 ml",,,,,,,,AED,,13.69,14.37,Barebells,,,,32507000,,,,,,,,,,,,,,,,,,,,,,,,
5.69423E+12,5.04638E+11,AmazonAe/T072Y,B0BCR2NG9V,global,Good Good,,,,,"GAME CHANGING PEANUT BUTTER: Providing the rich essence of a true peanut butter by definition. Made with 91.2% carefully roasted peanuts and containing a whopping 84% of GOOD fats. Delivering a mouth-watering, rich nut butter preserves all the things we all love about peanut butter.",,"DELICIOUS LOW CALORIE CRUNCHY PEANUT BUTTER: This healthy spread is great to be served at breakfast time or as a snack paired with porridge, toast, yogurt or put into a smoothie to keep you feeling energized throughout the day.","HEALTHY FATS & SUGAR FREE: Perfect when wanting an extra crunch and thick texture at breakfast time. This peanut butter is great for when you are on your health kick. Acceptable for keto diets and diabetic friendly, with it being low calorie, low carb and zero trans-free but still extremely delectable.","VEGAN AND PALM OIL FREE: Enjoy this spread knowing it is a fantastic source of protein, made for those trying to make conscious efforts to cut down on sugary and fatty spreads whilst also being sustainable as it does not contain palm oil and is vegan friendly.","GREAT FLAVOUR: Although this peanut butter focuses on an array of health benefits including its high protein and low sugar, this however does not taint the amazing flavour and texture that the product provides. Also available in Creamy.",,,,,,,,days,365,,,,gl_grocery,,,TRUE,,,,,,,,,,,,,Paste,,,,Good Good Crunchy Peanut Butter Keto Friendly - Low Calorie without Added Sugars - Vegan - No Palm Oil or Preservatives,,,,,,,,AED,,,34,Good Good,,,1,32502000,,Expiration On Package,,,,,,,,,,,,,,1,1,,,count,,1,8.56716E+11,
8.85958E+12,5.04638E+11,AmazonAe/T072Y,B0DWXBKCLF,global,QMINC,,,,,"Concentrated Ginger Shot: Packed with the goodness of premium ginger, honey, lemon juice, and beta-glucan for a potent and revitalising boost.",,"Natural Ingredients: Made with all-natural ingredients, free from artificial additives or preservatives.",Convenient Pack: Comes in a pack of 6 convenient 150ml bottles for easy consumption on-the-go.,"Immune Support: Beta-glucan helps strengthen the immune system, while ginger aids digestion and provides anti-inflammatory benefits.","Refreshing Taste: The perfect blend of ginger, honey, and lemon offers a delightfully refreshing and invigorating flavour.",,,,8.85958E+12,,,,days,420,,,,gl_grocery,,,TRUE,,,,,,,,,,,,,Liquid,,,,"Ginger Shot Premium Ginger, Natural Ginger Honey Lemon Juice, Beta Glucan, 150 ml Each, Pack of 6, Immunity, Energy Booster",,milliliters,900,,,grams,950,AED,,,42,qminc,,,,32503000,,Expiration On Package,,days,420,,,,,,,,,,,1,1,,,count,,1,,
B07TDCKNJW,5.04638E+11,AmazonAe/T072Y,B07TDCKNJW,global,Barebells,,,,,Item Category: Snack Food Bar,,Item Trademark: BAREBELLS,manufacturer: Barebells,,,,,,,,,,,,,,,gl_drugstore,,,,,,,,,,,,,,,,,,,,"Barebells White Chocolate Almond High Protein and Low Carb Bar, 12 x 55g (1,94 oz) Low Sugar Snack Protein Bar with 20g protein",,,,,,,,AED,,147.62,155,Barebells,,,,12105000,,,,,,,,,,,,,,,,,12,,,,,,,
2.735E+13,5.04638E+11,AmazonAe/T072Y,B08MBD4175,global,Vitamin Well,,,,,Smarter and healthier alternative to sodas and sugary juices.,,Vitamin Well gives a significant supplement of different vitamins and minerals,A healthier choice compared to soft drinks and other sugary drinks,Sweetened exclusively with fructose,Low calorie - each bottle (0.5l PET) contains only 85 calories,,,,,,,,days,210,,,,gl_drugstore,,,TRUE,,,,,,,,,,,,,,,,,"Vitamin Well Upgrade Lemon/Cactus Vitamin B12 + D Magnesium + Zinc (VW Upgrade 500ML, Pack of 12)",,,,,,,,AED,,,108.5,Vitamin Well,,,1,12105000,,Shelf Life,,,,,,,,,,,,,,1,12,,,millilitre,,6000,,
2.734E+13,5.04638E+11,AmazonAe/T072Y,B09MWMV1DG,global,Barebells,,,,,A delicious protein bar that suits your taste buds as well as your abdominal muscles.,,HIGH PROTEIN Content 20 grams of protein per bar.,LOW SUGAR Content Less than 2 grams of sugar per bar.,Delicious chocolate bars without a bad conscience in many irresistible flavours.,GMO free,,,,,,,,days,365,,,,gl_drugstore,,,TRUE,,,,,,,,,,,,,Bar,,,,"Barebells White Salty Peanut High Protein and Low Carb Bar, 12 x 55g (1,94 oz) Low Sugar Snack Protein Bar with 20g protein",,,,,,,,AED,,,154,Barebells,,,,12105000,,Shelf Life,,,,,,,,,,,,,,1,12,,,gram,,660,,
2.734E+13,5.04638E+11,AmazonAe/T072Y,B088NNZW7B,global,Barebells,,,,,"Plant-based, same great taste!",,Hazelnut Nougat Plant Based blends a delicious combination of creamy nougat and crispy chocolate-covered hazelnuts.,"Each Hazelnut Nougat Plant Based boasts 15g of plant-based protein derived from soy, peas, and rice.","They have no added sugars*, are free from Palm Oil, and are somewhat addictive…",Certified Vegan!,,,,,,,,days,365,,,,gl_grocery,,,TRUE,,,,,,,,,,,,,,,,,"Barebells Vegan Hazelnut Nougat High Protein and Low Carb Bar, 12 x 55g (1,94 oz) No Sugar Snack Protein Bar with 15g protein",,,,,,,,AED,,,159,Barebells,,,,32509400,,Expiration On Package,,,,,,,,,,,,,,1,1,,,count,,1,,
7.34E+12,5.04638E+11,AmazonAe/T072Y,B0DTDTZGMQ,global,Barebells,,,,,Delicious chocolate flavour without added sugar,,High protein content for muscle support,Perfect snack for fitness enthusiasts and athletes,,,,,,7.34E+12,,,,days,365,,,,gl_drugstore,,,TRUE,,,,,,,,,,,,,,,,,"Barebells Protein Bars, Creamy Crisp - Bars with 20g of High Protein - Perfect on The Go Protein Snack & Breakfast Bar, 55g",,,,,,,,AED,,,10,Barebells,,,1,32509400,,Expiration On Package,,,,,,,,,,,,,,1,1,,,count,,1,,
7.34E+12,5.04638E+11,AmazonAe/T072Y,B0977KZXYC,global,Barebells,,,,,A delicious protein bar that suits your taste buds as well as your abdominal muscles.,,HIGH PROTEIN Content 20 grams of protein per bar.,LOW SUGAR Content Less than 2 grams of sugar per bar.,Delicious chocolate bars without a bad conscience in many irresistible flavours.,GMO free,,,,7.34E+12,,,,days,365,,,,gl_drugstore,,,TRUE,,,,,,,,,,,,,Bar,,,,"Barebells DoubleBite Chocolate Crisp High Protein and Low Carb Bar, 12 x 55g 1,94 oz Low Sugar Snack Protein Bar with 16g protein Blue",,,,,,,,AED,,,154,Barebells Functional Foods,,,1,12105000,,Shelf Life,,,,,,,,,,,,,,1,1,,,gram,,660,,
7.34E+12,5.04638E+11,AmazonAe/T072Y,B07Q6Z4LPB,global,,,,,,,,,,,,,,,,,,,days,365,,,,gl_drugstore,,,TRUE,,,,,,,,,,,,,,,,,"Barebells White Chocolate Almond High Protein and Low Carb Bar, 55g Low Sugar Snack Protein Bar with 20g protein",,,,,,,,AED,,,15,Barebells,,,1,12105000,,Expiration On Package,,,,,,,,,,,,,,1,1,,,count,,1,,
B0CH8T3XXZ,5.04638E+11,AmazonAe/T072Y,B0CH8T3XXZ,global,Barebells,,,,,Barebells Vegan Protein Bars are here to prove that protein bars taste just as good when made with plant-based protein.,,Be a part of the plant-based revolution and give our mouth-watering Barebells Vegan Salty Peanut bars a try! Did we mention they are vegan?,,,,,,,7.34E+12,,,,,,,,,gl_drugstore,,,,,,,,,,,,,,,,,,,,"Barebells Vegan Salty Peanut Protein Bar, 55g",,,,,,,,AED,,12.3,12.91,Barebells,,,,32509400,,,,,,,,,,,,,,,,,,,,,,,,
7.34022E+12,5.04638E+11,AmazonAe/T072Y,B0DXBYBZN4,global,Vitamin Well,,,,,Smarter and healthier alternative to sodas and sugary juices.,,Vitamin Well gives a significant supplement of different vitamins and minerals,A healthier choice compared to soft drinks and other sugary drinks,,,,,,7.34022E+12,,,,days,210,days,30,,gl_drugstore,,,TRUE,,,,,,,,,,,,,,,,,Vitamin Well Reload Lemon and Lime Drink 500ml Pack of 6,,,,,,,,,,,,Vitamin Well,,,,12105100,,Expiration On Package,,,,,,,,,,,,,,1,1,,,count,,1,,
8.51532E+11,5.04638E+11,AmazonAe/T072Y,B07RPCSZLP,global,Rip Van Wafels,,,,,"High Protein Snack with Low Sugar: Contains 10g of protein, 5g of Sugar, and 6g of Fiber in each stroopwafel",,Keto Snacks: Sweet snack with indulgent taste for your keto diet with total of 13g net carbs,"Simple Clean Ingredients: Snack wafers made with natural ingredients. No artificial colors or flavors, preservatives, trans fat, soy, or high fructose corn syrup","Snackable and Packable: Healthy snack food for the office, lunch boxes, post workout or breakfast on the go",Individually Wrapped: Contains 12 individually wrapped Snickerdoodle Protein Stroopwafels,,,,,,,,days,365,,,,gl_drugstore,,,TRUE,,,,,,,,,,,,,Wafer,,,,Rip Van Wafels Cookies & Cream Stroopwafels - High Protein Snacks (10g Protein) - Non GMO Snack - Keto Friendly - Office Snacks - Healthy Snacks - Low Sugar (5g) - 12 Pack,,,,,,,,AED,,,140,RIPV0|#Rip Van,,,1,12105000,,Shelf Life,,,,,,,,,,,,,,1,1,,,gram,,504,8.51532E+11,
7.35004E+12,5.04638E+11,AmazonAe/T072Y,B09FX639YN,global,,,,,,,,,,,,,,,,,,,days,210,,,,gl_drugstore,,,TRUE,,,,,,,,,,,,,,,,,"Vitamin Well Antioxidant | Vitamin C + E, Selenium + Manganese | Healthy Drink | Functional Drinks | Protect your Body Cells – With a taste of Peach",,,,,,,,AED,,,10,,,,,12105000,,Expiration On Package,,,,,,,,,,,,,,1,12,,,count,,1,,
7.34E+12,5.04638E+11,AmazonAe/T072Y,B0BYZS6GLT,global,Barebells,,,,,Say hello to Barebells Soft Protein Bar Rocky Road Marshmallow! A new and excellent protein bar sensation! True to the motto Rocky Road each layer is a dream in itself: look forward to soft marshmallow puffs crunchy peanuts and a creamy caramel sauce - all covered in a layer of milk chocolate,,,,,,,,,7.34E+12,,,,days,365,,,,gl_drugstore,,,TRUE,,,,,,,,,,,,,,,,,Barebells Rocky Road Nutty Marshmellow Soft Protein Bar 55g,,,,,,,,AED,,12.3,12.91,Barebells,,,1,32509400,,Expiration On Package,,,,,,,,,,,,,,1,1,,,count,,1,,
8.56282E+11,5.04638E+11,AmazonAe/T072Y,B01N531XR0,global,Rip Van Wafels,,,,,"High Protein Snack with Low Sugar: Contains 10g of protein, 5g of Sugar, and 6g of Fiber in each stroopwafel",,Keto Snacks: Sweet snack with indulgent taste for your keto diet with total of 13g net carbs,"Simple Clean Ingredients: Snack wafers made with natural ingredients. No artificial colors or flavors, preservatives, trans fat, soy, or high fructose corn syrup","Snackable and Packable: Healthy snack food for the office, lunch boxes, post workout or breakfast on the go",Individually Wrapped: Contains 12 individually wrapped Snickerdoodle Protein Stroopwafels,,,,,,,,days,365,,,,gl_drugstore,,,TRUE,,,,,,,,,,,,,Wafer,,,,Rip Van WAFELS Dutch Caramel & Vanilla Stroopwafels - Healthy Snacks - Non GMO Snack - Keto Friendly - Office Snacks - Low Sugar (3g) - Low Calorie Snack - 12 Count,,,,,,,,AED,,,120,RIPV0|#Rip Van,,,1,12105000,,Shelf Life,,,,,,,,,,,,,,1,1,,,gram,,396,8.56282E+11,
B07TGM9J8V,5.04638E+11,AmazonAe/T072Y,B07TGM9J8V,global,Barebells,,,,,Contains 20 grams of protein and no added sugar,,Brand: BAREBELLS,Formulated with care,,,,,,,,,,,,,,,gl_drugstore,,,,,,,,,,,,,,,,,,,,"Barebells Cookies & Cream High Protein and Low Carb Bar - 12 x 55g (1,94 oz) Low Sugar Snack Protein Bar with 20g protein",,,,,,,,AED,,147.62,155,Barebells,,,,12105000,,,,,,,,,,,,,,,,,12,,,,,,,
B07KDKSTS7,5.04638E+11,AmazonAe/T072Y,B07KDKSTS7,global,Barebells,,,,,A 20 grams of protein and no added sugar,,,,,,,,,7.34E+12,,,,,,,,,gl_drugstore,,,TRUE,,,,,,,,,,,,,,,,,"Barebells Protein Bars Caramel Cashew, 1.9oz Bars with 20g of High Protein - Chocolate Protein Bar with 1g of Total Sugars - Perfect on The Go Protein Snack & Breakfast Bar, 55g",,,,,,grams,55,AED,,12.3,12.91,Barebells,,,,,,Expiration Date Required,,,,,,,,,,,,,,,,,,,,,,
8.43701E+12,5.04638E+11,AmazonAe/T072Y,B0DTGMM5L1,global,Castello since 1907,,,,,"Zero calorie sweetener with crystalline granules, with sweetener from Stevia plant.",,"100% Natural, nothing artificial, tastes like Sugar.","Heat stable, Ideal for baking and cooking",No bitter after taste,Zero glycemic index (doesn’t raise blood sugar level),Made in Spain,One teaspoonful is equivalent in sweetness to two teaspoonfuls of table sugar,Each Jar contains 300g.,,,,,days,1095,,,,gl_grocery,,,TRUE,,,,,,,,,,,,,Powder,,,,Castello Since 1907 - Zero Calorie Stevia Sweetener - 300g,,,,,,grams,300,AED,,,30,Tartaros Gonzalo Castello S.L.,,,,32501000,,Shelf Life,,,,,,,,,,,,,,1,1,,,count,,1,,
B0DQLLVRXB,5.04638E+11,AmazonAe/T072Y,B0DQLLVRXB,global,Barebells,,,,,Barebells Cookies & Cream protein bar is a dream come true for those who crave the classic combination of cookies and cream in a protein-packed snack.,,"With 20 grams of protein per bar, it offers the ultimate blend of crunchy cookie pieces and smooth, creamy filling, all enrobed in rich chocolate.","Ideal for fitness enthusiasts and cookie lovers alike, this bar provides a delicious way to fuel your body and satisfy your sweet cravings.",,,,,,7.34E+12,,,,,,,,,gl_drugstore,,,,,,,,,,,,,,,,,,,,"Barebells Cookies & Cream Protein Bar, 55g",,,,,,grams,55,AED,,12.3,12.91,Barebells,,,,32509400,,,,,,,,,,,,,,,,,,,,,,,,
7.35004E+12,5.04638E+11,AmazonAe/T072Y,B0FS7DHXXJ,global,Vitamin Well,,,,,"A non-sparkling, vitamin and mineral enriched low-calorie drink without preservatives",,Contains vitamins B6 and B12 which contribute to reduction of tiredness and fatigue,Plenty of vitamin D which contribute to normal muscle function,Gives a significant supplement of different vitamins and minerals,Smarter and healthier alternative to sodas and sugary juices,,,,7.35004E+12,,,,days,210,,,,gl_drugstore,,,TRUE,,,,,,,,,,,,,Liquid,,,,Vitamin Well Upgrade Lemon Cactus Flavor Vitamin B12 + D Magnesium + Zinc Low Calorie Drink 500 ml,,milliliters,500,,,,,AED,,,9.04,Vitamin Well AB,,,,32505000,,Shelf Life,,,,,,,,,,,,,,1,1,,,millilitre,,500,,
2.734E+13,5.04638E+11,AmazonAe/T072Y,B0CBKW4ZYB,global,Barebells,,,,,"A 20 grams of protein and no added sugar, High Protein and Low Carb Bar",,,,,,,,,,,,,days,365,,,,gl_drugstore,,,TRUE,,,,,,,,,,,,,,,,,"Barebells Salty Peanut Protein Bar, High Protein and Low Carb Bar, 12 x 55g (1,94 oz) Low Sugar Snack Protein Bar with 20g protein",,,,,,,,AED,,,159,Barebells,,,,32509400,,Expiration On Package,,,,,,,,,,,,,,1,1,,,gram,,660,,
2.734E+13,5.04638E+11,AmazonAe/T072Y,B088N7FT19,global,Barebells,,,,,"Plant-based, same great taste!",,Salty Peanut Plant Based is the ideal combination of sweet and salty flavors – perfect for all peanut butter addicts.,Salty Peanut Plant Based is the ideal combination of sweet and salty flavors – perfect for all peanut butter addicts.,"They have no added sugars*, are free from Palm Oil, and are somewhat addictive…","They have no added sugars*, are free from Palm Oil, and are somewhat addictive…",,,,,,,,days,365,,,,gl_grocery,,,TRUE,,,,,,,,,,,,,,,,,"Barebells Vegan Salty Peanut High Protein and Low Carb Bar, 12 x 55g (1,94 oz) No Sugar Snack Protein Bar with 15g protein",,,,,,,,AED,,,159,Barebells,,,,32509400,,Expiration On Package,,,,,,,,,,,,,,1,1,,,count,,1,,
B0F66LC5LL,5.04638E+11,AmazonAe/T072Y,B0F66LC5LL,global,Vitamin Well,,,,,Smarter and healthier alternative to sodas and sugary juices.,,Vitamin Well gives a significant supplement of different vitamins and minerals,A healthier choice compared to soft drinks and other sugary drinks,Fused with dietary supplements to keep yoy fit and healthy,"Provides you with enhanced strength, performance, recovery and endurance",,,,,,,,,,,,,gl_grocery,,,,,,,,,,,,,,,,,,,,"(Reduced shelf-life) Vitamin Well Reload Lemon/Lime Vitamin B + D Magnesium + Zinc (VW RELOAD 500ML, Pack of 12)",,,,,,,,AED,,103.33,108.5,Vitamin Well,,,,32505000,,,,,,,,,,,,,,,,,,,,,,,,
2.734E+13,5.04638E+11,AmazonAe/T072Y,B07DLNH6L2,global,Barebells,,,,,Contains 20 grams of protein and no added sugar,,Brand: BAREBELLS,Formulated with care,,,,,,,,,,days,365,,,,gl_drugstore,,,TRUE,,,,,,,,,,,,,Bar,,,,"Barebells Cookies & Cream High Protein and Low Carb Bar - 12 x 55g (1,94 oz) Low Sugar Snack Protein Bar with 20g protein",,,,,,,,AED,,147.62,155,Barebells,,,,12105000,,Shelf Life,,,,,,,,,,,,,,1,12,,,gram,,660,,
7.34E+12,5.04638E+11,AmazonAe/T072Y,B0G6KVQTS2,global,Barebells,,,,,20 g of protein per bar,,No added sugar,Convenient 55 g bar size,Pack of 4 protein bars,,,,,7.34E+12,,,,days,365,,,,gl_grocery,,,TRUE,,,,,,,,,,,,,,,,,Barebells Protein Bar Cookies & Cream 55 g Pack of 4,,,,,,,,AED,,,60,Barebells,,,,32509400,,Expiration On Package,,,,,,,,,,,,,,1,1,,,count,,1,,
7.34E+12,5.04638E+11,AmazonAe/T072Y,B07Q3S7RLD,global,,,,,,,,,,,,,,,,,,,days,365,,,,gl_drugstore,,,TRUE,,,,,,,,,,,,,,,,,Barebells Caramel Cashew Protein Bar - High Protein and Low Carb Bar - 55g Protein Bar with 20g protein,,,,,,,,AED,,,15,Barebells,,,1,12105000,,Expiration On Package,,,,,,,,,,,,,,1,1,,,count,,1,,
