sku,contributor_id,contributor_name,matched_asin#1.value,marketplace_id,brand.value,brand.value_id,browse_node_id.value,browse_nodes#1.value,browse_nodes#1.value_id,bullet_point#1.value,bullet_point#1.value_id,bullet_point#2.value,bullet_point#3.value,bullet_point#4.value,bullet_point#5.value,bullet_point#6.value,bullet_point#7.value,bullet_point#8.value,ean#1.value,expiration_date_type.value,expiration_interval.unit,expiration_interval.value,fc_shelf_life.unit,fc_shelf_life.value,fc_shelf_life_pad_time#1.unit,fc_shelf_life_pad_time#1.value,fulfillment_center_barcode_id#1.value,gl_product_group_type.value,inner_pack_product_identification.type,inner_pack_product_identification.value,is_expiration_dated_product.value,item_dimensions.height.normalized_value.unit,item_dimensions.height.normalized_value.value,item_dimensions.height.unit,item_dimensions.height.value,item_dimensions.length.normalized_value.unit,item_dimensions.length.normalized_value.value,item_dimensions.length.unit,item_dimensions.length.value,item_dimensions.width.normalized_value.unit,item_dimensions.width.normalized_value.value,item_dimensions.width.unit,item_dimensions.width.value,item_form#1.value,item_form#1.value_id,item_name.alternate_representations#1.type,item_name.alternate_representations#1.value,item_name.value,item_name.value_id,item_volume.unit,item_volume.value,item_weight.normalized_value.unit,item_weight.normalized_value.value,item_weight.unit,item_weight.value,list_price.currency,list_price.is_originating_currency,list_price.value,list_price.value_with_tax,manufacturer.value,manufacturer.value_id,minimum_order_quantity.increment#1.value,minimum_order_quantity.minimum#1.value,product_category.value,product_classes.value#1,product_expiration_type.value,product_expiration_type.value_id,product_shelf_life#1.unit,product_shelf_life#1.value,product_type_category.value,product_type_embedding.model.metadata.model_id,product_type_embedding.model.metadata.norm_function,product_type_embedding.model.vector#1.score,product_type_embedding.model.vector#1.value,product_type_embedding.override#1.source,product_type_embedding.override#1.type,product_type_embedding.override#1.value,product_type_subcategory.value,rtip_barcode.value,rtip_inner_packs_per_master_pack.value,rtip_items_per_inner_pack.value,rtip_items_per_master_pack.value,rtip_units_per_inner_pack#1.value,unit_count.type.value,unit_count.type.value_id,unit_count.value,upc#1.value,vendor_barcode#1.value
7.34E+12,5.04638E+11,AmazonAe/T072Y,B07M85KKJ4,global,Barebells,,,,,A delicious protein bar that suits your taste buds as well as your abdominal muscles.,,HIGH PROTEIN Content 20 grams of protein per bar.,LOW SUGAR Content Less than 2 grams of sugar per bar.,Delicious chocolate bars without a bad conscience in many irresistible flavours.,GMO free,,,,7.34E+12,,,,days,365,,,,gl_drugstore,,,TRUE,,,,,,,,,,,,,Bar,,,,"Barebells Hazelnut & Nougat High Protein and Low Carb Bar, 12 x 55g (1,94 oz) Low Sugar Snack Protein Bar with 20g protein",,,,,,,,AED,,,154,Barebells,,,,12105000,,Shelf Life,,,,,,,,,,,,,,1,12,,,gram,,660,,
2.734E+13,5.04638E+11,AmazonAe/T072Y,B07FSPH47X,global,Barebells,,,,,Item Category: Snack Food Bar,,Item Trademark: BAREBELLS,manufacturer: Barebells,,,,,,,,,,days,365,,,,gl_drugstore,,,TRUE,,,,,,,,,,,,,Bar,,,,"Barebells White Chocolate Almond High Protein and Low Carb Bar, 12 x 55g (1,94 oz) Low Sugar Snack Protein Bar with 20g protein",,,,,,,,AED,,147.62,155,Barebells,,,1,12105000,,Shelf Life,,,,,,,,,,,,,,1,12,,,gram,,660,,
2.734E+13,5.04638E+11,AmazonAe/T072Y,B0F793ZNSD,global,Barebells,,,,,"LOCO FOR COCO CHOCO - Experience the irresistible blend of chocolate and coconut in Barebells' latest creation, the Coco Choco soft protein bar.",,"HIGH IN PROTEIN, LOW IN SUGAR - Packed with 16g of protein and with 2g of sugar, our Coco Choco protein bar is your perfect snack companion, keeping you fueled and satisfied.","NO ADDED SUGAR, FULL FLAVOR - Our commitment to incredible taste shines through in every bite of the Coco Choco bar. Enjoy the full, rich flavors of chocolate and coconut without the added sugar, making it an ideal choice for those managing their sugar intake.","WE BELIEVE IN HAPPY EATING AND HEALTHY LIVING - the Barebells protein bar is famous for its soft texture and amazing taste. Never compromising on flavor, Barebells protein bars are here to wow your taste buds. Whether you're looking for a post-workout recovery snack or just a tasty treat to get you through the day, our Coco Choco bar is designed to provide you with sustained energy.","INDULGE IN COCONUT - Join the craze for our Coco Choco protein bars, a soft and indulgent snack that doesn't compromise on flavour. Perfect for Barebells enthusiasts and chocolate lovers alike.",,,,,,,,days,365,,,,gl_drugstore,,,TRUE,,,centimeters,5,,,centimeters,15,,,centimeters,7,Bar,,,,"Barebells Protein Bars, 16g Protein, Sugar Free Chocolate, Low Carb, 12 Pack x 55g, Coco Choco Flavour",,,,,,grams,660,AED,,,145,Barebell,,,,32509400,,Expiration On Package,,,,,,,,,,,,,,1,12,,,count,,1,,
7.34E+12,5.04638E+11,AmazonAe/T072Y,B07DLCVM1H,global,Barebells,,,,,Delicious tasting milkshake,,"Silky smooth, sweet and creamy",No added sugar,24 grams protein every bottle,,,,,7.34E+12,,,,days,365,,,,gl_drugstore,,,TRUE,,,,,,,,,,,,,,,,,Barebells Protein Milkshake 8 x 330ml Bottles| High Protein Shake | No Added Sugar | Lactose Free| 24g of Protein | Delicious Creamy Flavour (STRAWBERRY),,,,,,,,AED,,,120,BA0D2|#Barebell,,,,12105000,,Shelf Life,,,,,,,,,,,,,,1,12,,,millilitre,,2640,,
2.734E+13,5.04638E+11,AmazonAe/T072Y,B07DT4GYMW,global,Barebells,,,,,A 20 grams of protein and no added sugar,,High Protein and Low Carb Bar,Literally like a match made in heaven,,,,,,,,,,days,365,,,,gl_drugstore,,,TRUE,,,,,,,,,,,,,Bar,,,,"Barebells Salty Peanut Protein Bar, High Protein and Low Carb Bar, 12 x 55g (1,94 oz) Low Sugar Snack Protein Bar with 20g protein",,,,,,,,AED,,147.62,155,Barebells,,,,12105000,,Shelf Life,,,,,,,,,,,,,,1,12,,,gram,,660,,
B07TDTX4R2,5.04638E+11,AmazonAe/T072Y,B07TDTX4R2,global,Barebells,,,,,A 20 grams of protein and no added sugar,,High Protein and Low Carb Bar,Literally like a match made in heaven,,,,,,,,,,,,,,,gl_drugstore,,,,,,,,,,,,,,,,,,,,"Barebells Salty Peanut Protein Bar, High Protein and Low Carb Bar, 12 x 55g (1,94 oz) Low Sugar Snack Protein Bar with 20g protein",,,,,,,,AED,,147.62,155,Barebells,,,,12105000,,,,,,,,,,,,,,,,,12,,,,,,,
B0CH8RF9RZ,5.04638E+11,AmazonAe/T072Y,B0CH8RF9RZ,global,Barebells,,,,,"Protein bar with hazelnuts (6%), nougat flavour and milk chocolate coating (20 %).",,20 grams of protein,No added sugar,Without palm oil,Contains sweeteners and naturally occurring sugars,,,,7.34E+12,,,,,,,,,gl_drugstore,,,,,,,,,,,,,,,,,,,,"Barebells Vegan Hazelnut & Nougat Protein Bar, 55g",,,,,,,,AED,,12.3,12.91,Barebells,,,,32509400,,,,,,,,,,,,,,,,,,,,,,,,
7.34E+12,5.04638E+11,AmazonAe/T072Y,B0CGK3WVSK,global,Barebells,,,,,"BAREBELLS SOFT PROTEIN BAR SALTED PEANUT CARAMEL - 12 individual fluffy Barebells protein bars! Super soft chocolate filling, mixed with a salted peanut crunch, topped with a sweet caramel layer and silky soft chocolate shell. Our soft protein bars have 16 grams of protein and no added sugar*!",,OUR SOFTEST PROTEIN BARS EVER - Introducing Barebells brand new Soft Bars! A true game-changer when it comes to protein bars. Experience a whole new level of protein bars so soft and so good you’ll forget they’re actually protein bars.,DELICIOUS PROTEIN SNACKS WITHOUT ADDED SUGAR - Searching for protein bars that taste like a regular chocolate bar? Buckle up and grab a Barebells bar! Protein bars from Barebells are completely free from added sugars and packed with 15-20 grams of protein.,"ON THE GO HIGH PROTEIN SNACKS - Barebells is the ultimate choice for pre- and post-workout, as low calorie snacks at the office or for anyone who wants to satisfy their chocolate cravings.",WE BELIEVE IN HAPPY EATING AND HEALTHY LIVING - Barebells high protein bars are famous for its soft texture and mouth-watering flavors. Barebells chocolate protein bars were born to wow your taste buds!,100% BAREBELLICIOUS SNACK BARS - Available in 11 incredible flavors. We are on a mission to continue to develop our products to prove to the world that protein products don’t have to taste bland… But can be simply irresistible!,"ABOUT BAREBELLS - Launched in 2016 to brighten and shake things up in the protein category. We offer a broad range of protein alternatives to snacks and desserts, that never compromise on flavor. We offer a diverse variety of delicious products to satisfy a wide range of needs.","NO ADDED SUGAR - *Not a low or reduced calorie food. See nutrition information for sugar, calorie and saturated fat content",7.34E+12,,,,days,365,,,,gl_grocery,,,TRUE,,,,,,,,,,,,,,,,,Barebells Barbells Protein Bars 55g x 12 Bars (Soft Salted Peanut Caramel),,,,,,,,AED,,,159,Barebells,,,,32509400,,Shelf Life,,,,,,,,,,,,,,1,1,,,count,,1,,
7.35004E+12,5.04638E+11,AmazonAe/T072Y,B09FX1D4PF,global,QualityFood,,,,,QualityFood,,,,,,,,,7.35004E+12,,,,,,,,,gl_drugstore,,,,,,,,,,,,,,,,,,,,Vitamin Well Drink Reload Lemon and Lime Piece Vitamin B + D Magnesium + Zinc (VW RELOAD 500ML),,,,,,,,AED,,8.73,9.16,Vitamin Well,,,,12105000,,,,,,,,,,,,,,,,,12,,,,,,,
5.69423E+12,5.04638E+11,AmazonAe/T072Y,B0BCR5CKKZ,global,Good Good,,,,,"GAME CHANGING PEANUT BUTTER: Providing the rich essence of a true peanut butter by definition. Made with 91.2% carefully roasted peanuts and containing a whopping 84% of GOOD fats. Delivering a mouth-watering, rich nut butter preserves all the things we all love about peanut butter.",,"DELICIOUS LOW CALORIE CREAMY PEANUT BUTTER: This healthy spread is great to be served at breakfast time or as a snack paired with porridge, toast, yogurt or put into a smoothie to keep you feeling energized throughout the day.","HEALTHY FATS & SUGAR FREE: Perfect when wanting a smooth and creamy texture at breakfast time. This peanut butter is great for when you are on your health kick. Acceptable for keto diets and diabetic friendly, with it being low calorie, low carb and zero trans-free but still extremely delectable.","VEGAN AND PALM OIL FREE: Enjoy this spread knowing it is a fantastic source of protein, made for those trying to make conscious efforts to cut down on sugary and fatty spreads whilst also being sustainable as it does not contain palm oil and is vegan friendly.","GREAT FLAVOUR: Although this peanut butter focuses on an array of health benefits including its high protein and low sugar, this however does not taint the amazing flavour and texture that the product provides. Also available in Crunchy.",,,,,,,,days,365,,,,gl_grocery,,,TRUE,,,,,,,,,,,,,Paste,,,,Good Good Creamy Peanut Butter Keto Friendly - Low Calorie without Added Sugars - Vegan - No Palm Oil or Preservatives,,,,,,,,AED,,,34,Good Good,,,1,32502000,,Expiration On Package,,,,,,,,,,,,,,1,1,,,count,,1,8.56716E+11,
2.734E+13,5.04638E+11,AmazonAe/T072Y,B07DLFZW31,global,Barebells,,,,,"CHOCOLATE FLAVOURED PROTEIN SHAKE - Delicious creamy and smooth chocolate flavour. One could call it an ‘American diner come true’ flavour, because life is so much better with chocolate in it!",,LEAVE THE PROTEIN SHAKER AT HOME - With our ready to drink protein shake there is no need to mess with protein powder and a protein shaker bottle. Just bring a milkshake from Barebells!,"BAREBELLS PROTEIN MILKSHAKES are low calorie shakes with less than 200 calories per serving. With 24 grams of whey protein per serving, they make up the perfect high protein snacks on the go.",FOR AN ACTIVE LIFESTYLE - Protein drinks for a pre workout meal or as an alternative to post workout protein powder. There are many best ways to enjoy a Barebells protein milkshake.,"DESIGNED TO SPOIL OUR INNER CHILD - The fact that this chocolate milkshake contains 24g of protein, has no added sugar, is lactose free is just a grown-up bonus!",,,,,,,,days,365,,,,gl_drugstore,,,TRUE,,,,,,,,,,,,,,,,,Barebells Protein Milkshake 8 x 330ml Bottles| High Protein Shake | No Added Sugar | Lactose Free| 24g of Protein | Delicious Creamy Flavour (Chocolate),,,,,,,,AED,,,120,Barebells,,,,32509400,,Expiration On Package,,,,,,,,,,,,,,1,1,,,count,,1,,
7.34E+12,5.04638E+11,AmazonAe/T072Y,B07Q4Q591H,global,,,,,,,,,,,,,,,,,,,days,365,,,,gl_drugstore,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,AED,,,15,Barebells,,,1,12105000,,Expiration On Package,,,,,,,,,,,,,,1,1,,,count,,1,,
(1)27340001804625,5.04638E+11,AmazonAe/T072Y,B0BFBDDGGN,global,Barebells,,,,,Searching for protein bars that taste like a regular chocolate bar? Buckle up and grab a Barebells bar! Protein bars from Barebells are completely free from sugar,,"Barebells is the ultimate choice for pre- and post-workout, as low calorie snacks at the office or for anyone who wants to satisfy their chocolate cravings","Barebells Soft Caramel is as delicious as it sounds, it is the perfect choice for everyone who looks for that extra protein fuel or want something really tasty",,,,,,,,,,,,,,,gl_grocery,,,,,,centimeters,27.8,,,centimeters,6.5,,,centimeters,15.3,,,,,Barebells Barbells Protein Bars 55g x 12 Bars (Soft Caramel),,,,,,kilograms,0.74,AED,,147.62,155,Barebells,,,,12105000,,,,,,,,,,,,,,,,,1,,,,,,,
2.734E+13,5.04638E+11,AmazonAe/T072Y,B0D1HBJF5R,global,Barebells,,,,,"BAREBELLS COOKIES AND CARAMEL PROTEIN BAR - 12 individual yummy Barebells protein bars! Say goodbye to bland bars and hello to a treat that tastes as good as dessert. This new addition takes the classic Cookies and Cream flavor to the next level – it’s salty, crunchy, and sweet. Once you bite into the cookie and chocolate-flavored core, it’s a taste you’ll keep coming back for more! With its silky milk chocolate cover, smooth caramel layer, and crunchy crisp toppers, this bar boasts 20 grams of protein and *no added sugar.",,DELICIOUS HIGH PROTEIN SNACKS WITHOUT ADDED SUGAR - Searching for protein bars that taste like a chocolate bar or treat? This protein bar from Barebells is free from added sugars and packed with 20 grams of protein.,LEGENDARY TEXTURE AND TASTE - Barebells high protein bars are famous for their soft texture and mouth-watering flavors. Barebells chocolate protein bars were crafted to delight your taste buds!,"CONSCIOUS SNACKING – Our bars are available in 9 incredible flavors, GMO Free and Palm Oil Free. We are on a quest to continue to develop our products and to prove to the world that macro-friendly protein bars don’t have to taste bland… But delicious!","ON THE GO HIGH PROTEIN SNACKS - Barebells are the ultimate choice for a pre-workout or post-workout snack, as an office snack, or for anyone who wants to satisfy a chocolate or sweet craving, without the added sugar*","ABOUT BAREBELLS – Originating in Sweden, and launching in 2016, Barebells offer a broad range of protein alternatives to snacks and desserts. Barebells never compromise on flavor and satisfy a wide range of needs.","NO ADDED SUGAR - *Not a low or reduced calorie food. See nutrition information for sugar, calories and saturated fat content.",,,,,,days,365,,,,gl_drugstore,,,TRUE,,,,,,,,,,,,,,,,,"Barebells Protein Cookies and Caramel - 12 Count, 1.9oz Bars - Protein Snacks with 20g of High Protein - Chocolate Protein Bar with 1g of Total Sugars - On The Go Protein Snack & Breakfast Bars",,,,,,grams,55,AED,,,155,BAREBELLS,,,,32509400,,Expiration On Package,,,,,,,,,,,,,,1,1,,,count,,1,,
8.51532E+11,5.04638E+11,AmazonAe/T072Y,B07RSHJ339,global,Rip Van Wafels,,,,,"High Protein Snack with Low Sugar: Contains 10g of protein, 5g of Sugar, and 6g of Fiber in each stroopwafel",,Keto Snacks: Sweet snack with indulgent taste for your keto diet with total of 13g net carbs,"Simple Clean Ingredients: Snack wafers made with natural ingredients. No artificial colors or flavors, preservatives, trans fat, soy, or high fructose corn syrup","Snackable and Packable: Healthy snack food for the office, lunch boxes, post workout or breakfast on the go",Individually Wrapped: Contains 12 individually wrapped Snickerdoodle Protein Stroopwafels,,,,,,,,days,365,,,,gl_drugstore,,,TRUE,,,,,,,,,,,,,Wafer,,,,Rip Van Wafels Honey & Oats Stroopwafels - High Protein Snacks (10g Protein) - Non GMO Snack - Keto Friendly - Office Snacks - Healthy Snacks - Low Sugar (5g) - 12 Pack,,,,,,,,AED,,,140,RIPV0|#Rip Van,,,1,12105000,,Shelf Life,,,,,,,,,,,,,,1,12,,,gram,,504,8.51532E+11,
2.734E+13,5.04638E+11,AmazonAe/T072Y,B0BVQBSBV8,global,Barebells,,,,,Searching for protein bars that taste like a regular chocolate bar? Buckle up and grab a Barebells bar! Protein bars from Barebells are completely free from sugar,,"Barebells is the ultimate choice for pre- and post-workout, as low calorie snacks at the office or for anyone who wants to satisfy their chocolate cravings","Barebells Marshmellow is as delicious as it sounds, it is the perfect choice for everyone who looks for that extra protein fuel or want something really tasty",It includes 12 bars,,,,,,,,,days,365,,,,gl_grocery,,,TRUE,,,,,,,,,,,,,,,,,Barebells Barbells Protein Bars 55g x 12 Bars (Marshmallow),,,,,,,,AED,,,159,Barebells,,,,32509400,,Expiration On Package,,,,,,,,,,,,,,1,1,,,gram,,660,,
2.734E+13,5.04638E+11,AmazonAe/T072Y,B0CH8Y34JD,global,Barebells,,,,,"BANANA DREAM - Soft protein mass with a taste of banana, topped with creamy caramel sauce and covered in milk chocolate - have we awakened childhood memories?",,HIGH IN PROTEIN - Protein bars from Barebells contain 16g of protein and just a few grams of sugar per serving which makes it the perfect low calorie snack.,"PROTEIN SNACKS ON THE GO - Barebells is the ultimate choice for pre- and post-workout, as high protein snack at the office or for anyone who wants to satisfy their chocolate cravings.","WE BELIEVE IN HAPPY EATING AND HEALTHY LIVING - the Barebells protein bar is famous for its soft texture and amazing taste. Never compromising on flavor, Barebells protein bars are here to wow your taste buds.",PALM OIL-FREE AND NO ADDED SUGAR - Enjoy the reassurance that all our bars are crafted without palm oil and made without any added sugars,,,,,,,,days,365,,,,gl_drugstore,,,TRUE,,,centimeters,6.6,,,centimeters,27.8,,,centimeters,15.3,Bar,,,,Barebells Protein Bars | 16g protein low carb chocolate bars | after workout low calorie snacks 12 x 55g (Soft Bars Banana Dream),,,,,,,,AED,,,150,Barebells,,,,12105000,,Expiration On Package,,,,,,,,,,,,,,1,1,,,gram,,55,,
5.06064E+12,5.04638E+11,AmazonAe/T072Y,B072HWGV31,global,Barebells,,,,,A delicious protein bar that suits your taste buds as well as your abdominal muscles.,,HIGH PROTEIN Content 20 grams of protein per bar.,LOW SUGAR Content Less than 2 grams of sugar per bar.,Delicious chocolate bars without a bad conscience in many irresistible flavours.,GMO free,,,,5.06064E+12,,,,days,365,,,,gl_drugstore,,,TRUE,,,,,,,,,,,,,Bar,,,,"Barebells Caramel Cashew High Protein and Low Carb Bar, 12 x 55g (1,94 oz) Low Sugar Snack P",,,,,,,,AED,,,154,Barebells,,,,12105000,,Shelf Life,,,,,,,,,,,,,,1,12,,,gram,,660,,
7.34E+12,5.04638E+11,AmazonAe/T072Y,B0G6LCKTYH,global,Barebells,,,,,20 g of protein per bar,,No added sugar,Convenient 55 g bar size,Pack of 4 protein bars,,,,,7.34E+12,,,,days,365,,,,gl_grocery,,,TRUE,,,,,,,,,,,,,,,,,Barebells Protein Bar Salty Peanut 55 g Pack of 4,,,,,,,,AED,,,60,Barebells,,,,32509400,,Expiration On Package,,,,,,,,,,,,,,1,1,,,count,,1,,
7.34E+12,5.04638E+11,AmazonAe/T072Y,B07DLJB7PC,global,Barebells,,,,,Delicious tasting milkshake,,"Silky smooth, sweet and creamy",No added sugar,24 grams protein every bottle,,,,,7.34E+12,,,,days,365,,,,gl_drugstore,,,TRUE,,,,,,,,,,,,,,,,,Barebells Protein Milkshake 8 x 330ml Bottles| High Protein Shake | No Added Sugar | Lactose Free| 24g of Protein | Delicious Creamy Flavour (Banana),,,,,,,,AED,,,111,Barebells,,,,12105000,,Shelf Life,,,,,,,,,,,,,,1,12,,,millilitre,,2640,,
2.735E+13,5.04638E+11,AmazonAe/T072Y,B08MKX6G7G,global,Vitamin Well,,,,,Smarter and healthier alternative to sodas and sugary juices.,,Vitamin Well gives a significant supplement of different vitamins and minerals,A healthier choice compared to soft drinks and other sugary drinks,,,,,,,,,,days,210,,,,gl_drugstore,,,TRUE,,,,,,,,,,,,,,,,,"Vitamin Well Reload Lemon/Lime Vitamin B + D Magnesium + Zinc (VW RELOAD 500ML, Pack of 12)",,,,,,,,AED,,103.33,108.5,Vitamin Well,,,,12105000,,Shelf Life,,,,,,,,,,,,,,1,12,,,millilitre,,6000,,
7.34E+12,5.04638E+11,AmazonAe/T072Y,B07MHKBDJV,global,Barebells,,,,,Delicious tasting milkshake,,"Silky smooth, sweet and creamy",No added sugar,24 grams protein every bottle,,,,,7.34E+12,,,,days,365,days,30,,gl_drugstore,,,TRUE,,,,,,,,,,,,,,,,,Barebells Protein Milkshake 8 x 330ml Bottles| High Protein Shake | No Added Sugar | Lactose Free| 24g of Protein | Delicious Creamy Flavour (Vanilla),,,,,,,,AED,,,111,BA0D2|#Barebell,,,,12105000,,Shelf Life,,,,,,,,,,,,,,1,12,,,millilitre,,2640,,
