ASIN,Brand Name,List Price($)(T12M ),Product GMS($)(T12M ),Deal GMS($)(T12M ),Net PPM(T12M )(%),GV(T12M ),Amzn GV(T12M ),SoROOS(%)(T12M )(%),Daily SoRoos%(T12M )(%),Fill Rate - Sourceable(T12M )(%),Vendor Confirmation Rate - Sourceable(T12M )(%),ASP(T12M ),CM(T12M )(%),CP($)(T12M ),Net Receipts($)(T12M ),Net Receipts (Units)(T12M ),CCOGS As A % Of PCOGS(T12M )(%),PPM(T12M )(%),External Box Price Competitiveness (% Of GV)(T12M )(%),Net Ordered Units(T12M ),Customer Returns($)(T12M ),IDQ Score(T12M )
B015Y1GLK2,TILDA,21.28,253629.60,144109.02,13.36%,71195,60528,12.64%,12.64%,92.75%,65.75%,9.48,(14.26)%,-35963.39,701170.09,39543.00,54.75%,(87.04)%,77.17%,26756,2145.55,91.20
B07MV32JLH,Afia,46.35,21779.38,2831.91,15.39%,3821,3479,6.19%,6.19%,94.42%,96.94%,35.41,(0.65)%,-139.48,21579.22,663.00,9.42%,7.81%,98.26%,618,131.36,82.50
B07P6YJPPG,Afia,45.26,21352.50,151.88,7.40%,2496,2281,15.06%,15.06%,86.97%,97.40%,29.99,(9.81)%,-2062.04,30551.42,1025.00,9.07%,0.60%,98.07%,703,59.61,92.50
B07B3X1HZZ,TILDA,24.11,13154.30,2952.10,(16.25)%,6446,4701,30.69%,30.69%,88.52%,42.76%,11.34,(44.10)%,-5671.47,43641.17,2177.00,35.50%,(76.83)%,82.06%,1138,160.40,91.90
B015J4YNNG,TETLEY,0.00,11922.68,0,25.23%,2894,2787,7.38%,7.38%,95.40%,98.80%,6.92,(4.01)%,-478.53,11663.70,1988.00,13.64%,15.16%,98.87%,1730,41.07,98.50
B0C62GCJ68,TATA,3.68,11398.56,1114.98,17.89%,6675,6194,8.82%,8.82%,74.88%,99.57%,5.41,(18.47)%,-2128.42,24749.68,4373.00,23.22%,(4.61)%,67.23%,2105,50.94,100.00
B07P75SDV2,UNKNOWN,8.71,9253.10,0,(36.67)%,5188,4234,23.76%,23.76%,95.92%,96.33%,3.89,(115.21)%,-10259.29,27168.47,4485.00,13.70%,(55.68)%,58.94%,2386,54.52,82.90
B00L2ZKHOG,American Garden,6.10,9152.72,263.16,24.66%,7273,6686,4.27%,4.27%,74.89%,78.29%,5.74,(8.15)%,-749.68,8908.69,1735.00,18.45%,10.58%,43.42%,1595,35.94,83.00
B07G9L7NL2,TILDA,4.85,7573.82,16.75,15.15%,5193,5023,1.17%,1.17%,88.56%,98.21%,4.22,(17.84)%,-1344.85,9777.56,2317.00,18.74%,(0.07)%,39.21%,1799,12.66,93.20
B07G9KXXSN,TILDA,42.63,7379.07,5087.01,17.19%,2860,2765,3.85%,3.85%,75.40%,100.00%,25.98,1.85%,136.67,6751.74,198.00,37.45%,(31.24)%,100.00%,292,34.10,78.70
B01L1DRDKO,UNKNOWN,3.59,7213.14,206.94,16.68%,3341,3091,14.91%,14.91%,79.53%,91.82%,3.11,(26.06)%,-1842.30,13644.04,4659.00,18.42%,3.17%,54.42%,2313,18.13,97.00
B0014CYR98,UNKNOWN,5.04,7185.89,0,37.74%,3321,3190,20.33%,20.33%,37.54%,98.05%,5.11,1.10%,78.94,4240.32,1284.00,8.25%,35.43%,61.77%,1406,36.33,84.50
B01285C2BY,TILDA,4.85,7106.18,3184.59,17.10%,7998,7531,1.17%,1.17%,78.34%,74.96%,3.60,(29.51)%,-2104.27,61492.70,14572.00,31.53%,(17.22)%,38.23%,1980,54.86,91.20
B07NF847QH,TILDA,11.00,6925.15,2446.44,23.10%,10375,9946,0.18%,0.18%,91.10%,100.00%,6.68,(7.62)%,-524.93,35905.27,4324.00,39.72%,(24.34)%,35.48%,1037,33.21,91.20
B07NF7MR14,Tetley,6.81,6549.99,0,22.16%,2098,2037,10.39%,10.39%,72.39%,100.00%,5.56,(12.77)%,-842.66,5242.40,1058.00,13.92%,10.95%,66.95%,1188,4.96,98.50
B00L28D0QU,American Garden,3.33,6353.27,325.55,25.24%,7129,6912,2.97%,2.97%,83.41%,92.46%,3.16,(13.23)%,-833.23,12180.31,4448.00,18.37%,13.34%,74.38%,2001,2.74,91.50
B07NF7MFKX,Tetley,10.54,5775.77,48.27,2.54%,1074,927,25.81%,25.81%,78.50%,95.94%,9.02,(32.69)%,-1775.21,8470.68,881.00,9.61%,(6.54)%,79.97%,639,19.23,98.50
B005LLZ3QY,Tetley,7.00,5770.48,10.22,10.94%,1947,1697,19.74%,19.74%,67.47%,97.21%,5.99,(24.44)%,-1428.64,9463.56,1613.00,9.54%,2.09%,99.93%,965,17.60,100.00
B00NRML2XM,Dilmah,9.39,5157.14,154.66,30.62%,1663,1555,8.06%,8.06%,85.80%,63.04%,8.80,2.72%,142.00,4722.17,594.00,23.75%,9.67%,63.09%,586,15.90,0
B08GD1Z9PS,Tata,8.31,5067.57,412.70,26.51%,954,925,35.47%,35.47%,65.95%,98.33%,9.69,0.83%,41.59,4035.69,491.00,14.57%,15.17%,78.26%,524,65.75,87.50
B00NRML2UK,Dilmah,8.64,4972.42,1510.34,29.99%,1338,1300,3.80%,3.80%,89.27%,104.06%,9.53,5.27%,264.08,5146.08,548.00,29.00%,2.61%,62.80%,526,10.19,100.00
B091VPBF8Q,American Garden,5.47,4810.14,228.78,16.65%,10388,9373,4.35%,4.35%,78.58%,83.52%,4.96,(19.11)%,-888.75,8125.71,1706.00,19.53%,1.85%,27.82%,969,63.71,96.70
B00L2ZL4V6,American Garden,4.06,4513.66,4.00,22.90%,2618,2181,10.39%,10.39%,80.87%,55.52%,4.14,(17.14)%,-778.47,4854.15,1264.00,18.35%,8.74%,45.06%,1096,15.12,0
B000LRO5O4,Splenda,12.56,4062.76,211.45,19.92%,1568,1208,81.24%,81.24%,14.09%,93.79%,25.39,0.12%,4.65,3680.86,169.00,7.95%,14.22%,0.00%,165,43.56,0
B07P76G5DQ,American Classic,2.88,3834.41,43.46,21.00%,6787,6677,0.34%,0.34%,101.85%,93.05%,2.64,(32.09)%,-1234.23,3619.26,1487.00,18.45%,7.35%,23.55%,1450,19.60,90.00
B0D2P6KRB1,Tata Soulfull,0.00,3810.44,362.65,11.85%,6788,6274,12.26%,12.26%,92.26%,99.53%,3.63,(38.53)%,-1469.94,12157.39,2911.00,25.77%,(15.08)%,56.70%,1052,41.76,67.50
B083VKDQ3P,TATA,8.13,3663.43,9.71,13.08%,4462,4071,13.27%,13.27%,84.22%,97.17%,2.99,(42.17)%,-1513.86,9137.25,3040.00,14.74%,(0.51)%,48.12%,1225,63.12,100.00
B005FBKVZ8,Dilmah,4.98,3607.55,567.48,32.54%,2184,2110,17.92%,17.92%,94.11%,100.00%,5.21,(6.69)%,-243.63,3776.10,797.00,26.84%,10.51%,58.93%,700,0.00,82.50
B07FD6XPLF,Wella Koleston,5.64,3457.60,740.98,23.19%,5575,4496,3.34%,3.34%,98.41%,91.55%,2.89,(24.12)%,-827.56,7237.04,1359.00,59.48%,(84.11)%,59.67%,1206,117.16,100.00
B0DT61H872,TATA GLOBAL BEVeRAGES,5.63,3454.12,77.95,30.06%,5643,5333,6.40%,6.40%,87.29%,98.98%,4.69,(10.06)%,-351.71,7443.93,1693.00,26.72%,6.31%,0.00%,736,21.98,63.50
B00FHD9Y5W,Chings Secret,0.37,3028.03,0,10.75%,5245,3592,10.08%,10.08%,96.48%,88.08%,2.79,(47.18)%,-1399.68,10404.38,3760.00,13.57%,3.00%,56.14%,1087,27.14,91.00
B00MWVY52O,TILDA,9.15,3011.54,264.22,31.49%,1303,1173,6.45%,6.45%,91.67%,80.66%,9.68,12.67%,381.89,3262.76,410.00,19.12%,17.82%,51.08%,311,0.00,85.70
B091VQBBGW,American Garden,5.51,2925.60,289.78,16.91%,6009,5256,8.56%,8.56%,83.07%,88.07%,4.83,(22.09)%,-642.18,6916.45,1460.00,20.49%,(0.57)%,45.55%,606,24.50,96.70
B00R2UOFWU,Dilmah,9.25,2912.54,8.87,34.80%,1378,1319,11.97%,11.97%,68.22%,88.34%,9.71,15.81%,449.45,2199.46,281.00,22.55%,19.38%,64.71%,300,23.48,0
B08C1BXXXV,O'lite,7.34,2544.74,41.22,8.98%,1188,1008,18.60%,18.60%,47.75%,93.90%,5.16,(32.21)%,-814.97,3725.81,754.00,8.31%,4.27%,86.63%,510,9.88,91.70
B000Z4MHNE,French's,2.85,2529.79,32.13,15.02%,1389,1343,6.54%,6.54%,97.16%,84.09%,3.07,(40.88)%,-1052.31,2005.18,759.00,5.26%,14.17%,100.00%,824,8.34,98.50
B00Q6I22DI,American Garden,3.54,2524.46,255.24,20.06%,5147,4910,2.96%,2.96%,92.83%,100.00%,3.11,(40.11)%,-997.52,3908.75,1304.00,21.47%,3.47%,26.35%,814,23.98,93.70
B07HNSPY84,Dilmah,5.53,2467.74,787.79,29.49%,1052,1012,10.51%,10.51%,55.85%,97.93%,6.11,(0.64)%,-16.01,2933.83,455.00,33.26%,(4.68)%,0.00%,410,5.85,81.00
B00Y09JC24,Ching's,2.22,2431.37,0,18.48%,4894,4077,12.01%,12.01%,82.26%,91.79%,1.96,(75.22)%,-1883.43,7092.49,4040.00,14.45%,10.48%,35.87%,1242,33.21,86.70
B07J3Y1ZTZ,Dilmah,2.57,2403.89,0,39.60%,1753,1681,33.30%,33.30%,54.17%,72.62%,2.85,(17.04)%,-414.10,1818.65,835.00,23.60%,23.62%,79.73%,872,8.71,76.00
B091VQS1Q5,American Garden,10.11,2295.16,325.29,18.70%,2678,2603,13.32%,13.32%,78.79%,89.19%,8.03,(8.98)%,-199.21,2282.51,300.00,18.48%,4.15%,28.76%,286,23.11,100.00
B07MTXFYB3,Crunchos,7.43,2267.80,608.81,14.17%,535,496,14.39%,14.39%,93.42%,93.83%,5.71,(8.53)%,-189.24,2641.40,420.00,25.84%,(10.10)%,64.09%,397,0.00,73.40
B088FH4VG8,UNKNOWN,4.86,2266.49,54.26,23.89%,1107,1001,21.23%,21.23%,77.78%,98.18%,4.83,(21.71)%,-488.51,2126.91,516.00,14.15%,14.71%,55.42%,470,16.49,59.90
B01L1DQPMG,American Garden,4.41,2251.17,20.95,22.28%,7419,6852,14.16%,14.16%,84.18%,47.78%,4.03,(27.37)%,-639.09,2768.94,744.00,17.80%,7.75%,48.10%,556,3.72,92.50
B01L1DRF70,UNKNOWN,3.59,2134.05,55.48,19.30%,889,818,12.71%,12.71%,87.76%,100.00%,3.20,(24.65)%,-510.93,3124.92,1048.00,18.22%,5.93%,67.49%,667,12.09,97.00
B08C1BXHZT,Sun Vita,5.71,2085.27,33.61,22.37%,1918,1630,8.70%,8.70%,95.50%,92.70%,3.84,(62.64)%,-992.83,6294.09,2066.00,8.34%,18.52%,57.50%,539,114.22,83.40
B00L28D96Q,American Garden,3.70,1989.43,72.70,22.28%,2339,2029,7.91%,7.91%,57.64%,97.67%,3.42,(22.75)%,-440.36,3679.55,1226.00,18.40%,9.68%,55.05%,610,21.65,94.50
B01C4L6IIK,Lotte,7.52,1864.02,200.69,24.49%,2025,1915,18.61%,18.61%,66.70%,99.13%,3.71,(13.41)%,-246.40,2088.96,682.00,13.06%,17.64%,0.00%,484,14.73,81.70
B083VKXLY4,American Garden,6.65,1850.51,180.69,14.03%,10567,10390,1.26%,1.26%,97.30%,91.36%,5.33,(13.56)%,-250.72,2419.31,432.00,20.36%,(4.63)%,17.65%,347,5.60,94.50
B07P68FH59,American Garden,2.82,1835.33,121.48,18.24%,2164,1954,6.86%,6.86%,88.74%,95.14%,2.42,(47.52)%,-899.75,1749.36,731.00,20.14%,1.03%,35.81%,759,9.57,93.70
B01CEHAE20,American Garden,3.90,1790.79,31.10,18.60%,4047,3834,7.11%,7.11%,80.17%,100.00%,3.10,(34.96)%,-627.91,4029.13,1354.00,18.37%,3.95%,35.80%,576,17.85,90.00
B083VK2HQH,Tetley,3.89,1768.05,112.83,25.33%,1267,1145,14.47%,14.47%,85.99%,99.47%,3.89,(15.62)%,-282.52,1299.90,453.00,0.00%,26.15%,100.00%,457,0.00,87.50
B07PKCQ275,Afia,4.33,1741.45,407.61,14.19%,4946,4362,10.39%,10.39%,87.79%,94.82%,3.89,(40.19)%,-680.19,8114.81,2163.00,15.12%,3.49%,63.56%,449,22.51,75.00
B0058MKHIU,TILDA,3.44,1681.13,0,26.01%,665,658,0.00%,0.00%,97.86%,67.91%,3.44,(11.35)%,-189.17,2027.47,677.00,18.99%,13.07%,47.74%,488,5.99,83.70
B001QBX8BU,Tetley,31.66,1665.91,0,27.44%,694,662,25.87%,25.87%,50.97%,91.58%,3.14,(23.17)%,-396.83,1474.58,590.00,9.29%,20.34%,84.54%,530,29.99,97.00
B072RK9TG9,Lotte,2.69,1651.23,0,10.29%,4632,4099,9.93%,9.93%,83.16%,98.75%,1.00,(59.83)%,-992.30,2217.84,2375.00,8.81%,6.91%,32.46%,1642,3.74,89.50
B00LQO3FUQ,Tata,0.88,1626.35,0,16.87%,3920,3577,22.55%,22.55%,82.68%,87.96%,0.74,(207.51)%,-4124.17,12920.62,19772.00,13.58%,7.77%,60.62%,2225,6.12,96.70
B0792L8SY6,Lotte,3.84,1570.76,0,15.02%,1898,1624,40.94%,40.94%,42.69%,79.69%,3.39,(25.30)%,-400.83,2694.98,876.00,9.91%,9.12%,28.57%,464,0.00,75.00
B07P68FGXQ,American Garden,1.30,1566.43,0,20.99%,1351,1192,13.63%,13.63%,94.18%,79.07%,1.22,(43.21)%,-672.40,1378.44,1244.00,18.25%,9.24%,49.88%,1283,9.97,96.20
B084CLC4YB,TATA,14.55,1549.32,0,26.93%,1675,1607,40.35%,40.35%,26.20%,95.77%,7.75,(5.91)%,-91.78,1204.26,198.00,8.00%,21.49%,0.00%,204,6.08,95.00
B083VKRTPS,TATA,10.09,1533.69,0,(5.33)%,3122,2577,14.06%,14.06%,63.65%,99.59%,3.56,(55.85)%,-880.40,5244.08,1230.00,13.85%,(19.81)%,70.20%,435,0.00,100.00
B0B8GMD5W2,Kannan Devan,7.94,1510.35,0,(47.90)%,2384,2078,8.00%,8.00%,96.71%,96.95%,2.69,(118.53)%,-1801.25,6300.85,1385.00,13.67%,(69.28)%,93.51%,562,18.20,82.50
B00L2ZLGQE,American Garden,3.98,1443.61,6.98,23.10%,4256,4033,1.03%,1.03%,95.77%,82.28%,3.74,(30.27)%,-410.98,2764.81,817.00,18.41%,9.51%,21.28%,386,20.30,90.50
B0847NQFB6,Al Osra,1.62,1423.79,34.59,25.87%,1636,1575,13.03%,13.03%,71.68%,99.43%,1.59,(60.33)%,-886.98,1388.90,1074.00,13.20%,18.44%,0.00%,901,10.35,92.90
B07P8QBGF6,Eminence,1.55,1422.07,0,(1.27)%,12003,11396,2.80%,2.80%,96.89%,90.11%,1.04,(116.82)%,-1712.11,4807.53,3831.00,18.27%,(20.12)%,18.75%,1362,11.27,93.00
B07PHYKW9T,American Garden,6.63,1403.65,129.98,11.94%,2602,2418,3.24%,3.24%,97.01%,100.00%,5.18,(22.62)%,-317.30,3001.73,536.00,20.52%,(8.12)%,32.12%,271,11.20,94.50
B00L2ZKJ3A,American Garden,3.67,1380.61,114.01,15.93%,2251,1723,6.20%,6.20%,92.58%,82.04%,2.86,(45.26)%,-615.92,4697.10,1681.00,18.76%,1.61%,54.99%,483,11.20,98.30
B0749NNYF5,Ching's Secret,2.44,1376.95,0,24.26%,1553,1391,19.21%,19.21%,85.17%,84.26%,2.31,(48.19)%,-658.04,1480.35,779.00,14.26%,17.61%,39.23%,600,5.70,84.20
B00L2ZKGHE,American Garden,5.51,1359.34,117.43,23.99%,3742,3357,3.19%,3.19%,80.03%,79.46%,5.15,(20.77)%,-280.06,2459.20,527.00,18.48%,9.37%,31.58%,267,14.00,98.50
B07G9D3B8F,TILDA,4.70,1324.64,726.30,21.52%,1297,1240,2.88%,2.88%,97.89%,99.02%,4.14,(21.27)%,-271.67,4283.35,898.00,34.27%,(15.23)%,56.55%,320,23.85,83.70
B07NF6MPF7,American Garden,2.06,1309.15,12.27,23.23%,668,629,4.04%,4.04%,93.33%,100.00%,1.96,(38.31)%,-515.28,1090.62,623.00,18.50%,10.54%,52.07%,669,1.75,96.70
B084PTX8XP,American Garden,6.65,1291.22,16.25,19.33%,3083,2845,8.96%,8.96%,97.01%,100.00%,5.82,(16.33)%,-210.05,2906.53,519.00,18.53%,3.71%,89.57%,222,16.80,94.50
B083VK1XBB,American Garden,10.41,1265.60,0,14.46%,585,529,19.52%,19.52%,66.67%,100.00%,8.85,(8.92)%,-111.02,1115.91,126.00,18.50%,(0.07)%,69.18%,144,0.00,97.00
B00A3KSCXY,Al Rifai,6.88,1237.93,199.49,20.96%,397,378,28.14%,28.14%,88.07%,98.79%,6.07,(4.16)%,-50.67,1561.37,302.00,12.71%,14.80%,65.23%,211,0.00,79.20
B00L2ZKM0K,American Garden,4.00,1235.08,207.09,17.70%,1994,1551,5.78%,5.78%,94.29%,80.52%,3.27,(39.35)%,-474.47,5002.15,1588.00,20.36%,2.83%,51.46%,378,9.45,0
B091VRT6S1,American Garden,9.74,1231.29,56.84,22.38%,694,651,27.25%,27.25%,76.19%,95.45%,8.32,(2.14)%,-26.51,1369.51,180.00,18.53%,7.61%,55.21%,148,0.00,100.00
B00L2ZKSWM,American Garden,4.18,1202.93,5.59,7.42%,2035,1850,1.78%,1.78%,96.20%,93.59%,3.25,(38.48)%,-465.58,1604.81,451.00,18.30%,(9.45)%,35.93%,370,0.00,98.30
B072BZJJN7,Splenda,3.38,1174.37,21.53,26.32%,1048,1010,25.00%,25.00%,67.44%,97.73%,5.00,(13.86)%,-162.19,920.73,236.00,8.36%,21.93%,0.00%,232,0.00,80.50
B0D2P5HXT1,Tata Soulfull,0.00,1162.33,0,24.14%,2898,2743,10.14%,10.14%,85.17%,99.10%,4.95,(19.40)%,-221.01,2376.35,569.00,13.69%,15.56%,50.29%,236,20.88,70.00
B00L2ZL0YW,American Garden,3.98,1142.56,157.26,18.10%,2097,2000,2.19%,2.19%,92.96%,100.00%,3.39,(30.97)%,-346.54,1851.11,547.00,21.57%,0.18%,48.11%,339,27.07,97.00
B07NF942SP,American Garden,3.16,1141.15,13.96,18.30%,4208,3321,3.68%,3.68%,91.75%,100.00%,2.98,(51.38)%,-553.71,4332.92,1486.00,19.52%,2.14%,72.90%,383,23.33,89.40
B00L2ZKNL8,American Garden,5.36,1122.44,13.56,13.97%,971,821,2.37%,2.37%,91.64%,51.34%,4.14,(22.29)%,-239.30,2040.97,499.00,18.50%,0.51%,28.97%,271,9.22,98.30
B07PCF1NF9,UNKNOWN,3.75,1104.03,192.92,14.02%,957,892,2.52%,2.52%,95.04%,83.45%,2.88,(51.85)%,-571.32,2240.02,837.00,10.62%,7.16%,38.59%,384,5.35,82.90
B00L2ZKROQ,American Garden,3.22,1087.74,50.30,18.98%,4063,3636,8.32%,8.32%,89.38%,98.39%,3.58,(41.41)%,-458.89,3927.75,1174.00,18.15%,5.42%,29.51%,304,3.38,98.30
B07NF5Y85R,American Garden,3.65,1061.84,23.83,23.45%,2196,2134,4.78%,4.78%,79.31%,67.44%,3.40,(49.27)%,-488.47,909.28,294.00,18.53%,9.12%,38.73%,311,30.93,76.90
B00L2ZL28G,American Garden,5.60,1058.38,52.76,24.26%,1385,1317,14.11%,14.11%,91.70%,82.57%,5.57,(9.16)%,-99.55,1436.17,283.00,18.40%,8.90%,44.15%,190,0.00,94.20
B0C62CMRMF,TATA,1.25,1053.44,153.52,0.77%,3068,2262,7.85%,7.85%,80.34%,100.00%,4.58,(41.88)%,-442.17,3733.03,631.00,24.17%,(29.17)%,61.11%,230,0.00,100.00
B00L28DEWA,American Garden,3.67,955.15,6.29,16.83%,1597,1315,13.90%,13.90%,91.85%,98.84%,3.14,(32.66)%,-313.04,5356.07,1822.00,18.44%,2.65%,51.03%,301,0.00,94.00
B00L2ZK7CS,American Garden,2.65,949.78,10.30,15.40%,5759,5349,9.57%,9.57%,98.44%,95.65%,3.40,(50.05)%,-499.57,2932.29,857.00,17.81%,0.74%,21.84%,279,0.00,97.00
B083VKRS2P,TILDA,8.88,911.18,541.38,27.45%,422,407,1.65%,1.65%,99.02%,100.00%,8.93,4.34%,39.61,1023.21,109.00,33.30%,(5.08)%,100.00%,102,0.00,74.40
B083VKGY29,Tata,8.88,910.58,21.45,20.80%,1179,1052,18.74%,18.74%,84.17%,99.52%,3.29,(28.20)%,-260.06,973.84,324.00,14.96%,8.57%,52.65%,277,9.02,100.00
B00L28C5U2,American Garden,4.90,909.89,67.75,19.59%,4446,4089,7.88%,7.88%,97.15%,88.37%,4.21,(28.68)%,-254.01,1792.15,446.00,21.44%,1.70%,19.21%,216,0.00,0
B07P9G9RTZ,American Garden,6.65,851.84,130.98,19.29%,3047,2817,26.77%,26.77%,97.14%,92.75%,5.68,(19.78)%,-149.63,2186.59,393.00,21.64%,1.39%,53.69%,150,56.00,93.00
B0D2P44PQ9,Tata Soulfull,0.00,842.90,56.99,10.16%,968,846,27.28%,27.28%,78.59%,74.70%,4.53,(39.23)%,-336.82,1167.40,247.00,16.15%,(3.63)%,64.74%,185,0.00,0
B083VKML26,Tetley,6.08,842.38,0,(13.28)%,500,332,19.83%,19.83%,96.93%,100.00%,4.23,(53.43)%,-445.96,1306.00,246.00,10.28%,(25.42)%,74.14%,199,5.31,86.00
B083VKQWPQ,American Garden,6.66,777.40,0,17.91%,1307,1213,11.25%,11.25%,83.08%,100.00%,5.72,(15.40)%,-120.75,1271.26,227.00,17.96%,2.03%,83.16%,138,5.60,93.00
B07P68FLFY,American Garden,7.25,771.40,48.92,11.17%,2837,2274,7.69%,7.69%,96.26%,100.00%,5.63,(22.63)%,-172.70,2131.74,348.00,20.14%,(8.79)%,25.59%,137,18.38,93.00
B00L28CLEW,American Garden,5.84,770.98,24.48,17.96%,1153,1064,12.02%,12.02%,61.11%,100.00%,5.07,(22.58)%,-172.07,713.91,144.00,18.38%,2.26%,50.83%,153,0.00,97.00
B08C192WMP,Al Arabi,12.06,770.47,15.73,22.71%,240,217,27.92%,27.92%,81.74%,96.64%,9.51,(4.86)%,-38.10,595.13,74.00,9.17%,15.45%,44.12%,83,0.00,84.20
